agent,eval_epsilon,cards_up,cards_up_sd,win_rate,repeated_position_frac
PPO,0.0,7.535,5.533,0.0,0.7804
PPO,0.05,13.9,14.517,0.105,0.6384
PPO,0.2,20.605,18.948,0.24,0.468
Double DQN,0.0,5.14,3.521,0.0,0.8396
Double DQN,0.05,6.44,4.179,0.0,0.7693
Double DQN,0.2,10.465,8.084,0.0,0.6166
DQN,0.0,5.845,3.663,0.0,0.8076
DQN,0.05,8.13,5.833,0.005,0.7083
DQN,0.2,13.55,12.267,0.055,0.5533
Q-learning,0.0,11.245,6.767,0.0,0.2295
Q-learning,0.05,12.075,7.683,0.0,0.2293
Q-learning,0.2,11.91,7.221,0.0,0.2392
PPO (argmax over its policy),n/a,7.535,,0.0,0.7804
PPO (sampling its policy),n/a,22.45,,0.285,0.4483
