Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
0,14.0,6.377,11.0,7.1181,11.0,7.1181,11.6667,4.1096
25,14.2308,1.8048,13.9744,1.3837,13.859,2.7106,12.8205,1.3191
50,15.549,0.641,14.2876,0.6887,14.5033,1.6117,12.4183,0.138
75,16.6228,0.7899,14.636,1.2932,14.8947,1.701,12.6754,0.4405
100,17.55,0.7406,15.0833,0.7134,14.71,1.1175,12.4733,0.4112
125,17.8533,1.2086,15.2933,0.7166,14.4967,0.4031,12.3333,0.6616
150,19.0933,1.7767,15.79,1.021,14.4967,0.3226,12.32,0.5375
175,19.1767,1.1269,15.9533,0.7413,14.1867,0.7611,12.0467,0.3701
200,19.8167,1.1102,15.89,1.4012,14.6233,1.1346,12.4067,0.2517
225,21.79,1.5415,15.78,1.3566,14.63,1.4195,12.54,0.2211
250,22.0333,1.7854,15.0833,2.0356,14.35,0.6975,12.4433,0.2991
275,22.24,1.5795,14.4067,1.8043,14.2933,1.2352,12.65,0.6524
300,21.3733,0.7816,13.3067,0.931,13.09,0.7921,12.4233,0.6194
325,21.2033,1.158,12.6267,1.2861,12.6033,0.5347,12.3333,0.6413
350,21.1367,0.6344,12.2133,0.5465,12.3067,0.4009,12.72,0.587
375,21.6367,2.1448,12.19,0.3087,11.4567,0.3402,12.36,0.4385
400,22.28,2.7501,11.95,0.3226,11.08,0.47,12.15,0.5002
425,22.71,1.9945,11.8733,0.2223,11.2933,0.9203,12.3033,0.3167
450,22.5333,2.7426,11.3667,0.4047,10.3267,1.0111,12.06,0.1564
475,21.9633,2.1025,10.32,0.5267,10.0233,0.7264,12.2233,0.1226
500,21.6267,0.5642,9.6967,0.4573,9.9267,0.7808,12.06,0.3967
525,21.2133,0.8513,9.1033,0.1302,9.02,0.4781,11.8733,0.3878
550,21.3433,1.9307,8.7033,0.3549,9.04,0.3419,11.87,0.3718
575,21.36,1.378,9.2533,0.5138,9.02,0.3102,12.2667,0.3704
600,21.9933,1.7755,9.45,0.3879,8.8033,0.2254,12.5033,0.2639
625,21.3,1.5648,9.38,0.679,8.7567,0.411,12.2867,0.5782
650,20.8833,1.1341,9.66,0.693,8.29,0.4656,12.27,0.615
675,21.5833,1.4459,8.8833,0.4956,7.71,0.4624,11.8767,0.4443
700,21.1633,1.4104,8.5133,0.3236,7.6033,0.3561,11.7833,0.2721
725,21.3433,1.3009,8.3033,0.6064,7.4267,0.526,11.79,0.3699
750,21.49,1.8635,8.07,0.8799,7.8333,0.437,11.99,0.7701
775,20.7333,2.6506,8.3,0.9149,8.0833,0.4539,11.94,0.8324
800,20.84,3.0807,8.28,0.7032,7.8,0.3063,12.0233,0.7427
825,21.39,1.0269,8.6033,0.402,7.9433,0.045,12.59,0.3456
850,21.4633,1.0207,8.4367,0.3094,7.6833,0.3703,12.6433,0.5601
875,21.53,0.5189,8.65,0.571,7.6567,0.1239,12.8433,0.5011
900,21.56,0.1715,8.9733,0.4393,7.8133,0.2053,12.8133,1.0361
925,21.85,0.9188,8.7567,0.3489,7.5733,0.3813,12.4567,0.9998
950,21.9567,1.7262,9.0067,1.0059,7.5867,0.2304,12.2,0.2165
975,21.73,0.6953,8.8033,0.764,7.26,0.0638,11.9,0.6227
1000,22.43,1.6256,8.6767,1.1696,7.35,0.0909,12.0833,0.5308
1025,22.52,0.4546,8.4133,1.0454,7.4267,0.188,12.6,0.5324
1050,22.1467,1.5641,7.76,0.6068,7.02,0.0963,12.1567,0.6165
1075,23.35,2.2374,7.37,0.1424,7.1467,0.221,12.1267,0.5775
1100,23.3533,1.266,7.9733,0.1452,7.2567,0.1893,12.5133,0.7692
1125,23.0,1.4949,8.36,0.1042,7.1067,0.3565,11.7933,1.0906
1150,22.9833,0.9269,8.91,0.457,7.3667,0.3371,12.18,1.016
1175,21.68,0.292,9.3467,0.9983,7.2733,0.3289,12.35,0.3672
1200,21.1067,0.8118,9.1567,0.9645,7.0167,0.5209,11.8433,0.237
1225,20.9567,0.5543,9.01,1.1952,7.1433,0.3775,12.2133,0.197
1250,22.3067,0.3701,9.1667,1.1026,7.3867,0.3492,12.5967,0.5557
1275,22.1633,1.2279,8.8,0.7836,7.3467,0.2457,12.4067,0.3137
1300,21.84,2.1433,8.54,0.9481,7.5833,0.594,12.29,0.7839
1325,21.7,2.0073,8.89,0.7442,7.7667,0.4665,12.31,0.7254
1350,20.7533,2.107,8.7933,0.4928,7.7833,0.4492,12.1533,0.3688
1375,22.27,1.5925,9.7333,0.9162,8.1033,0.2327,12.3167,0.4759
1400,22.0333,1.0804,9.65,0.7624,8.17,0.308,12.3667,0.3544
1425,22.6367,1.3627,9.4967,0.8085,8.32,0.5123,12.0867,0.929
1450,22.18,1.7976,9.4667,0.5573,8.1733,0.6317,12.1267,0.8577
1475,22.2267,1.6641,9.1867,0.6837,8.4333,1.0918,12.1667,0.9321
1500,22.6733,2.3644,9.5933,0.5392,8.56,0.9896,12.75,0.2192
1525,21.72,1.4381,10.1267,0.6883,8.7667,0.9327,13.13,0.2673
1550,22.0633,1.1558,9.8133,0.7192,8.8933,0.7041,13.0133,0.1584
1575,22.0433,0.5198,9.4133,0.2671,8.35,0.3905,12.79,0.693
1600,22.5267,2.4921,9.1467,0.3852,8.3133,0.3289,12.35,0.4993
1625,22.97,3.3634,8.4433,0.3,7.8933,0.4499,12.17,0.463
1650,22.7367,3.2293,8.5267,0.4899,7.7067,0.2719,11.7867,0.326
1675,21.84,3.0374,8.7833,0.4759,7.69,0.2269,11.9433,0.0858
1700,21.0933,2.1658,8.4033,0.5479,7.5967,0.1078,11.9467,0.405
1725,21.3067,2.9315,8.7167,0.7827,7.3767,0.2037,11.7567,0.3231
1750,21.3833,3.0467,9.1267,0.576,7.5467,0.6822,12.05,0.2628
1775,22.03,2.9014,9.0267,0.3126,8.06,0.8691,12.0167,0.4019
1800,20.7533,1.9717,9.14,0.5478,8.01,0.9831,11.7967,0.7098
1825,19.8167,0.1347,8.82,0.3629,8.13,0.9201,11.4167,0.7441
1850,20.7267,1.0406,8.6367,0.3991,7.96,0.5189,11.7033,0.8054
1875,19.98,2.2755,8.28,0.1631,7.6133,0.3635,11.79,0.5728
1900,20.9067,1.3491,8.5133,0.2696,7.6267,0.3018,12.0667,0.6096
1925,21.5133,1.0291,9.0667,0.5347,7.7333,0.6465,12.3633,0.6148
1950,21.3533,1.1285,8.8133,0.5907,7.8333,0.9829,12.08,0.5472
1975,21.1367,0.6106,8.99,0.6419,7.9433,0.9739,11.8,0.5602
2000,21.5033,0.2824,9.2433,0.7333,8.3467,1.2851,11.6,0.7518
2025,21.58,0.2483,8.6367,0.4382,8.34,1.1199,11.4733,0.8536
2050,20.61,0.7198,9.02,0.3043,8.2867,0.6694,11.2467,0.3065
2075,21.2933,0.4631,9.0167,0.3665,8.2767,0.5307,11.5,0.191
2100,20.6433,1.2546,9.16,0.7151,7.94,0.2434,11.5867,0.4616
2125,19.91,1.882,9.5833,0.4328,7.8033,0.2085,11.7567,0.5061
2150,20.3467,1.3775,9.57,0.1899,8.1433,0.3935,12.51,0.4041
2175,20.27,1.2165,10.0867,0.0634,8.4633,0.7383,12.8967,0.3148
2200,20.8067,1.8787,9.59,0.589,8.2533,0.4903,12.7767,0.6307
2225,21.89,2.0721,10.0867,1.2016,8.3467,0.4429,13.0,0.5236
2250,21.63,0.7296,9.9333,1.2166,8.4333,0.2532,12.65,0.5189
2275,21.9867,1.3612,9.8567,1.5858,8.4967,0.462,12.45,0.607
2300,22.1233,0.429,9.3433,1.3131,8.5533,0.9953,12.3833,0.659
2325,22.0033,0.4712,8.3533,0.7128,8.45,1.0254,12.1867,0.8983
2350,22.8933,1.8272,8.3067,0.3601,8.2533,1.2373,12.0433,0.3586
2375,21.4433,2.364,7.9033,0.0918,8.0667,0.6782,11.5267,0.7024
2400,21.6333,3.3008,8.23,0.1143,8.13,0.1639,11.84,1.0708
2425,20.95,3.1477,8.3467,0.1528,8.4567,0.3027,11.91,0.7978
2450,18.9067,1.4536,8.39,0.2619,8.2633,0.4922,11.8833,0.2176
2475,18.9767,0.5354,8.4633,0.2151,8.0133,0.9676,12.1233,0.2575
2500,18.1167,1.0788,8.8867,0.7519,7.78,1.1229,11.7567,0.5123
2525,18.4533,0.8552,8.93,0.4598,7.4967,0.8589,11.73,0.5185
2550,19.4033,1.5979,9.3933,0.5756,7.7867,0.9567,11.66,0.4259
2575,20.55,1.6208,9.4833,0.782,7.8867,0.5097,11.8733,0.7055
2600,21.0833,2.1806,9.36,0.0787,7.94,0.0356,12.4133,0.7204
2625,21.0233,1.1541,9.2433,0.2453,8.19,0.0616,12.4867,0.3193
2650,22.09,1.1509,8.95,0.9265,7.8733,0.4583,12.4733,0.8356
2675,22.11,0.4224,8.5933,0.3426,7.9533,0.1994,12.5,0.3606
2700,21.9167,0.1406,8.49,0.5162,8.22,0.4596,12.47,0.2299
2725,22.62,0.8661,9.11,1.3394,8.83,0.841,12.4967,0.3279
2750,22.8967,2.4748,9.2933,0.9113,9.3,0.7757,12.4833,0.0873
2775,22.6667,0.5925,9.4567,0.8141,9.4567,0.3646,12.28,0.3354
2800,23.24,0.6512,9.38,0.946,9.54,0.3678,11.9967,0.2604
2825,23.4267,0.3427,9.3767,0.5799,9.21,0.4334,12.0767,0.1027
2850,22.7967,1.4679,9.2967,0.7944,8.9333,0.2101,12.0,0.4477
2875,22.5733,0.5593,9.8133,0.9217,8.89,0.4767,12.1133,0.7802
2900,23.6767,0.4266,9.7533,0.7664,9.2367,1.2045,12.36,0.5982
2925,23.33,0.4511,9.45,0.7104,9.0033,0.5957,12.0933,0.6182
2950,23.54,0.591,9.0333,0.731,9.0133,0.8285,12.2133,0.9189
2975,24.7,1.4128,8.83,0.4455,9.1267,1.5644,12.3233,0.6394
3000,22.9667,0.9107,9.3433,0.8312,9.03,1.861,12.03,0.5097
3025,22.14,0.9792,9.4333,0.6994,8.99,1.3176,12.43,0.6364
3050,22.2067,0.7832,9.86,0.8132,8.8867,1.0444,12.5,0.4531
3075,22.19,0.8221,10.1467,1.0754,9.2433,0.8619,12.5433,0.8403
3100,22.37,0.1497,9.88,0.6227,9.04,0.4901,12.9233,0.8927
3125,22.9533,0.2941,10.18,0.5521,9.1333,0.4106,12.5733,0.6342
3150,22.0333,1.212,10.6633,0.9408,9.1367,0.3066,12.49,0.6669
3175,21.4,2.0172,10.3767,1.1689,8.81,0.5256,12.42,0.6582
3200,22.2333,1.907,10.4367,1.6216,8.67,0.8828,12.1733,0.6654
3225,21.6633,2.4758,10.66,1.5714,8.7667,0.6504,12.0433,0.6394
3250,21.79,1.5559,10.53,0.5181,8.6833,0.2661,12.2767,0.4383
3275,20.48,2.097,9.8967,0.1873,8.4267,0.3738,12.07,0.2434
3300,20.5,1.49,9.9033,0.8145,8.79,0.3262,12.1833,0.603
3325,20.9833,0.597,9.35,0.9916,8.6467,0.2852,12.1167,0.5639
3350,21.56,1.0697,9.21,0.7474,8.86,0.0963,11.8133,0.6236
3375,22.1767,1.8684,9.7633,1.1332,9.1067,0.7005,12.0533,0.868
3400,22.3033,1.0804,9.77,0.7045,8.9167,0.638,11.93,1.1707
3425,22.0867,1.3128,9.3967,0.6249,9.0633,0.6661,12.47,0.7762
3450,20.42,2.7041,9.08,1.0179,9.1767,0.5978,12.82,0.5673
3475,21.0533,1.0915,9.2067,1.5887,9.19,0.4537,12.82,0.1961
3500,20.06,0.5982,9.0567,1.2692,9.4833,0.484,12.72,0.8494
3525,20.0033,1.3551,9.1067,1.5039,9.07,1.1121,12.1633,1.042
3550,21.0567,2.1422,9.2867,1.153,8.6367,1.1045,12.0,0.87
3575,21.44,1.6435,8.9733,0.8048,8.7667,1.1562,11.7367,0.4539
3600,22.8433,0.9555,9.7467,1.1629,8.33,0.4357,11.8967,0.5139
3625,23.2233,0.5474,9.9467,1.1502,8.58,0.298,12.0133,0.5069
3650,23.2,2.9477,9.4,0.7925,8.69,0.2943,11.6867,0.5863
3675,22.2967,2.127,9.54,0.4864,8.42,0.7629,11.9333,0.8142
3700,20.8067,2.0169,8.6667,0.3272,8.57,1.0395,11.79,0.8999
3725,21.3833,2.6705,8.5667,0.6664,8.9567,0.9642,12.16,0.7276
3750,21.8667,0.9083,9.18,0.2128,9.3067,0.7299,12.5567,0.2716
3775,22.78,0.7139,8.8767,0.4199,9.09,0.5923,12.16,0.4206
3800,23.03,1.1163,8.8033,0.4058,9.06,0.2998,12.0067,0.402
3825,23.4467,0.9481,8.73,0.1846,8.8167,0.6883,11.89,0.5417
3850,23.3,1.4263,8.4533,0.3704,8.7067,0.6269,12.0433,0.8947
3875,22.9967,0.7796,8.7733,0.4282,9.4267,0.7961,12.4,0.8002
3900,23.5433,0.1887,9.4067,0.5066,9.5133,0.6959,12.6667,0.4507
3925,22.6633,0.4926,10.2133,0.6775,9.9,0.4695,12.78,0.3159
3950,21.5733,1.2429,10.03,0.9415,9.92,0.1791,12.2433,0.3754
3975,20.92,1.2223,9.9133,0.6898,9.43,0.2434,12.3233,0.5584
4000,20.65,1.4166,9.8067,0.5664,9.5367,0.6061,12.29,0.4182
