Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
0,8.0,2.9439,5.0,1.633,5.0,1.633,9.6667,2.0548
25,11.3333,1.0011,12.4744,2.457,11.7692,1.5162,10.3333,1.345
50,12.366,0.5537,12.6209,1.561,12.0131,1.2336,10.2549,0.6576
75,11.9079,0.5784,13.6886,1.4951,12.0921,1.0152,10.0263,0.6273
100,12.1567,0.3308,13.55,1.1085,12.3,0.8686,9.69,0.4459
125,12.1133,0.517,13.7867,0.2915,12.1167,0.9957,9.1767,0.068
150,11.93,0.192,14.3033,1.1035,13.1833,0.3387,9.1433,0.3439
175,12.2367,0.6492,13.9967,0.539,13.22,0.5804,9.3,0.49
200,12.22,0.792,14.73,0.3608,13.4633,0.8354,9.5067,0.389
225,12.7,1.502,14.7367,0.1087,13.5867,1.5955,9.9733,0.412
250,12.6833,2.1946,14.1667,0.7833,12.4067,0.7571,9.6633,0.6919
275,12.8133,2.3951,14.2633,1.1799,12.56,0.7325,9.8633,0.5903
300,12.3533,2.7184,13.0667,0.7568,12.0367,0.9452,9.7767,0.5399
325,12.0733,2.301,13.03,0.3082,12.4867,1.3758,9.8033,0.427
350,12.52,2.4868,13.2533,0.5249,12.6533,0.6499,10.42,0.5238
375,12.92,1.7569,12.32,0.2647,12.0033,0.2684,10.4067,0.2179
400,13.77,1.712,12.1133,0.3347,11.2867,0.1721,10.36,0.0616
425,14.0167,1.6554,11.1167,0.8093,10.7933,0.4472,10.5067,0.6914
450,13.44,0.7243,9.9633,0.5357,10.0033,0.345,10.1433,0.2763
475,12.59,0.7671,9.4633,0.7558,10.0067,0.7466,9.9967,0.2341
500,12.16,1.0335,8.9667,0.423,9.8967,0.5641,9.9667,0.3468
525,11.9167,1.4779,8.7167,0.0478,9.0867,0.811,9.66,0.6728
550,12.25,1.7846,8.5833,0.2453,8.76,0.3732,9.71,0.5778
575,13.16,1.6171,8.7667,0.2817,8.3333,0.4047,9.9,0.3429
600,13.4033,1.3735,8.77,0.4283,8.4567,0.4453,9.9633,0.5277
625,13.55,1.127,8.54,0.2007,8.3233,0.3611,10.1533,0.747
650,13.3,1.1602,8.4867,0.2068,8.0267,0.2654,10.0333,0.4196
675,13.0567,1.2697,7.9367,0.1096,7.7967,0.2718,9.5567,0.2098
700,12.4333,1.1867,7.67,0.4759,7.44,0.2263,9.58,0.108
725,12.6067,1.6187,7.96,0.5492,7.3433,0.4213,9.15,0.5576
750,13.26,1.5664,8.3,0.9706,7.7833,0.6137,9.5067,0.3068
