Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
0,8.0,2.9439,5.0,1.633,5.0,1.633,9.6667,2.0548
25,9.4103,0.736,12.9231,1.9348,10.8718,1.4851,10.0256,1.6213
50,10.2222,1.0896,13.0196,1.5192,11.8039,0.7646,9.7582,0.6706
75,10.364,0.2823,13.1842,2.0025,11.8816,0.8188,9.2325,0.4854
100,10.3833,0.0704,13.4667,1.7486,11.7733,0.796,9.1267,0.3661
125,10.46,0.4164,13.3733,1.5848,12.63,0.5375,8.8467,0.4034
150,10.4667,0.992,13.44,1.557,12.9967,0.689,8.99,0.3106
175,10.0967,1.0546,13.3333,0.2718,13.46,0.2454,9.3967,0.187
200,10.1333,1.0986,13.5467,0.5153,14.02,0.6316,9.6533,0.1087
225,10.7167,1.3693,13.7133,0.4274,13.4267,0.7816,10.1133,0.2333
250,11.1333,2.2196,13.3067,1.026,12.9667,1.3571,9.76,0.2128
275,11.9533,2.4312,13.14,0.5598,12.37,1.6391,9.8033,0.1126
300,12.31,2.7552,12.1067,0.3942,11.37,1.4157,9.5533,0.4088
325,12.1633,3.2928,11.6067,0.6206,11.1033,1.4873,9.28,0.2123
350,11.93,2.3974,11.5267,0.5191,10.9,1.1753,10.0167,0.4005
375,11.6667,1.8517,10.5267,0.5798,10.9167,1.631,9.7433,0.2625
400,11.4633,1.1188,9.85,0.5108,10.8267,1.5893,9.83,0.3336
425,11.4267,0.0634,9.3667,0.7546,10.2767,1.5025,10.1433,0.393
450,11.56,0.2112,8.8667,0.1452,9.3967,1.0506,9.7067,0.4786
475,11.35,0.9357,9.29,0.198,8.9433,0.3135,10.05,0.6116
500,11.0367,1.2175,9.2233,0.2859,8.8,0.1657,9.98,0.5208
525,10.8367,1.0927,9.1633,0.4736,8.7233,0.5692,9.4967,0.3381
550,10.3167,1.0098,9.0767,0.2958,9.06,0.5111,9.3667,0.2996
575,10.6,0.5292,8.73,0.4883,8.7467,0.972,9.6033,0.4053
600,11.0267,0.8316,8.92,0.6049,8.6667,0.7826,9.8667,0.6557
625,11.4967,1.5644,8.5067,0.1484,8.6667,0.3478,9.9633,0.89
650,11.3967,2.1704,8.0967,0.2029,8.2833,0.5077,9.85,0.3354
675,11.1033,2.6363,7.8967,0.4465,7.98,0.5434,9.4267,0.4873
700,10.4767,2.2664,7.6167,0.1756,7.81,0.2255,9.2167,0.392
725,9.8867,1.4171,7.56,0.6697,7.3333,0.2458,8.86,0.292
750,10.43,0.7716,8.03,0.9146,7.27,0.3207,9.3133,0.3427
775,10.25,0.3536,8.0333,0.4784,7.6633,0.3364,9.5867,0.0834
800,10.3933,0.4084,8.0333,0.245,7.5267,0.4043,9.72,0.3342
825,10.8633,0.66,8.33,0.297,8.1367,0.147,10.2933,0.5741
850,10.5733,0.9039,7.9367,0.6048,8.12,0.2655,10.3733,0.7905
875,11.1267,1.1107,8.13,0.3726,7.96,0.3906,10.29,0.7474
900,11.3,1.4758,8.38,0.2299,8.3,0.3514,10.2767,0.4164
925,11.0133,1.6882,8.0333,0.1226,7.8467,0.2843,10.1667,0.5251
950,10.84,1.4703,8.15,0.3606,7.82,0.4182,10.2467,0.2684
975,10.4133,1.135,7.7067,0.5357,7.4267,0.2613,9.85,0.2022
1000,10.4967,0.8469,7.5833,0.3442,7.3933,0.25,9.87,0.6394
1025,10.83,1.8024,7.84,0.193,7.3233,0.1528,9.7667,0.5584
1050,10.7667,2.2881,7.35,0.2557,6.8733,0.4067,8.82,0.4537
1075,10.62,2.0984,7.57,0.3389,7.2267,0.457,9.1433,0.5155
1100,10.7167,1.6285,7.7567,0.3564,7.4633,0.4367,9.52,0.5404
1125,10.7633,0.8868,7.6433,0.1322,7.6267,0.3775,9.4333,0.5076
1150,10.9967,0.4771,7.99,0.1314,7.9,0.3324,9.82,0.5208
1175,11.38,0.1512,8.08,0.5185,7.6833,0.5723,9.6833,0.3081
1200,11.9433,0.7434,7.6833,0.6558,6.9367,0.3391,9.2967,0.5331
