Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0256,0.0363,0.0,0.0,0.0256,0.0181
50,0.0131,0.0092,0.0131,0.0185,0.0131,0.0092,0.0261,0.0185
75,0.0351,0.0062,0.0088,0.0124,0.0219,0.0124,0.0351,0.0124
100,0.0367,0.0125,0.01,0.0141,0.02,0.0082,0.0333,0.0047
125,0.07,0.0082,0.02,0.0082,0.02,0.0082,0.0267,0.0047
150,0.0967,0.0125,0.0267,0.0125,0.0167,0.0125,0.0233,0.0047
175,0.0933,0.017,0.0367,0.017,0.01,0.0141,0.01,0.0082
200,0.1167,0.017,0.0367,0.017,0.0167,0.0094,0.0067,0.0094
225,0.1167,0.0094,0.02,0.0163,0.02,0.0082,0.0067,0.0094
250,0.1433,0.033,0.0167,0.0125,0.02,0.0082,0.0033,0.0047
275,0.1667,0.0249,0.02,0.0283,0.0233,0.0047,0.0033,0.0047
300,0.18,0.0294,0.0167,0.0236,0.0133,0.0047,0.0033,0.0047
325,0.19,0.0497,0.02,0.0283,0.0133,0.0125,0.0067,0.0047
350,0.17,0.0163,0.0233,0.0262,0.02,0.0082,0.0067,0.0047
375,0.18,0.0216,0.0233,0.0125,0.0267,0.017,0.0067,0.0047
400,0.2033,0.033,0.0267,0.0094,0.0267,0.017,0.0067,0.0047
425,0.24,0.0424,0.0233,0.0047,0.0267,0.017,0.0067,0.0094
450,0.2667,0.0665,0.03,0.0163,0.0167,0.0094,0.01,0.0082
475,0.2767,0.0411,0.0333,0.017,0.01,0.0141,0.0167,0.0094
500,0.29,0.0589,0.0367,0.0125,0.0167,0.017,0.0167,0.0047
525,0.3,0.0616,0.0467,0.0094,0.0233,0.0189,0.0133,0.0047
550,0.31,0.0787,0.0567,0.0094,0.03,0.0163,0.01,0.0082
575,0.3033,0.0713,0.0533,0.0205,0.0233,0.0094,0.01,0.0141
600,0.3,0.0216,0.0733,0.0205,0.0267,0.0047,0.0133,0.0125
625,0.2567,0.0249,0.0667,0.0125,0.02,0.0082,0.0133,0.0125
650,0.2633,0.0249,0.07,0.0141,0.02,0.0,0.02,0.0082
675,0.29,0.0294,0.07,0.0082,0.03,0.0082,0.0267,0.0094
700,0.28,0.0356,0.07,0.0082,0.03,0.0,0.0233,0.0094
725,0.3033,0.0249,0.0733,0.0094,0.0333,0.0094,0.0267,0.0047
750,0.3,0.0163,0.0633,0.0047,0.0333,0.0047,0.0233,0.0047
775,0.3067,0.0125,0.0633,0.0236,0.0267,0.0125,0.01,0.0082
800,0.34,0.0141,0.0467,0.017,0.0267,0.0047,0.0167,0.0125
825,0.3733,0.017,0.0667,0.0309,0.0267,0.0047,0.02,0.0216
