Episode,Double DQN mean,Double DQN std,DQN mean,DQN std
0,0.0,0.0,0.0,0.0
25,0.0256,0.0363,0.0,0.0
50,0.0131,0.0185,0.0196,0.0
75,0.0088,0.0124,0.0263,0.0107
100,0.01,0.0141,0.02,0.0082
125,0.0167,0.0125,0.02,0.0082
150,0.0267,0.0125,0.0167,0.0125
175,0.04,0.0216,0.01,0.0082
200,0.0367,0.0205,0.0167,0.0047
225,0.0333,0.0047,0.03,0.0082
250,0.0267,0.0047,0.03,0.0082
275,0.0167,0.0094,0.0267,0.0047
300,0.0167,0.0094,0.02,0.0082
325,0.0167,0.0094,0.0067,0.0047
350,0.02,0.0141,0.0033,0.0047
375,0.0167,0.017,0.0033,0.0047
400,0.0233,0.0189,0.0133,0.0125
425,0.02,0.0216,0.02,0.0163
450,0.0167,0.0125,0.0233,0.0189
475,0.0333,0.0262,0.0267,0.0236
500,0.03,0.0283,0.0167,0.0094
525,0.0333,0.033,0.0233,0.0125
550,0.0367,0.0309,0.04,0.0283
575,0.0233,0.0125,0.05,0.0141
600,0.03,0.0082,0.07,0.0141
625,0.0233,0.0094,0.06,0.0163
650,0.0233,0.0047,0.04,0.0245
675,0.03,0.0082,0.04,0.0245
700,0.0367,0.0047,0.0267,0.0125
725,0.04,0.0082,0.0333,0.0125
750,0.0367,0.0094,0.0467,0.0125
775,0.04,0.0082,0.0433,0.0047
800,0.0367,0.0047,0.0433,0.0047
825,0.0433,0.0094,0.04,0.0082
850,0.0433,0.017,0.0367,0.0047
875,0.0367,0.0205,0.0567,0.0047
900,0.04,0.0082,0.07,0.0163
925,0.04,0.0,0.08,0.0294
950,0.06,0.0216,0.0767,0.0287
975,0.0733,0.0249,0.06,0.0163
1000,0.08,0.0408,0.05,0.0
1025,0.0733,0.0287,0.06,0.0141
1050,0.0767,0.0249,0.07,0.0163
1075,0.07,0.0283,0.0667,0.017
1100,0.0667,0.0236,0.0867,0.033
1125,0.08,0.0163,0.0667,0.0125
1150,0.07,0.0327,0.0667,0.017
1175,0.0633,0.0262,0.0767,0.0309
1200,0.0567,0.0236,0.05,0.0082
1225,0.06,0.0163,0.0567,0.0189
1250,0.0567,0.0047,0.0467,0.0189
1275,0.0567,0.0125,0.04,0.0216
1300,0.0633,0.0125,0.0667,0.0249
1325,0.05,0.0082,0.0633,0.0262
1350,0.0567,0.0094,0.07,0.0245
1375,0.08,0.0,0.0733,0.0205
1400,0.0767,0.0094,0.0567,0.017
1425,0.09,0.0294,0.07,0.0216
1450,0.08,0.0163,0.09,0.0216
1475,0.0667,0.0236,0.0933,0.0094
1500,0.0633,0.0125,0.1033,0.0249
1525,0.0567,0.0047,0.09,0.0374
1550,0.06,0.0082,0.0633,0.034
1575,0.06,0.0,0.0467,0.0125
1600,0.0567,0.017,0.0333,0.0047
1625,0.0733,0.017,0.04,0.0082
1650,0.0733,0.0094,0.0367,0.0047
1675,0.08,0.0,0.05,0.0082
1700,0.09,0.0245,0.0567,0.0125
1725,0.0667,0.0249,0.05,0.0082
1750,0.07,0.0163,0.06,0.0082
1775,0.0633,0.0094,0.05,0.0082
1800,0.06,0.0216,0.0533,0.0125
1825,0.07,0.0216,0.0767,0.0249
1850,0.06,0.0082,0.0867,0.0205
1875,0.0567,0.017,0.1033,0.0262
1900,0.0467,0.0125,0.0967,0.0205
1925,0.0367,0.0125,0.0833,0.0094
1950,0.0567,0.0094,0.0767,0.0249
1975,0.07,0.0141,0.0633,0.0094
2000,0.0867,0.0125,0.0667,0.0047
2025,0.0967,0.0262,0.0733,0.0189
2050,0.08,0.0245,0.07,0.0374
2075,0.08,0.0432,0.0967,0.0205
2100,0.08,0.0356,0.1,0.0163
2125,0.0867,0.0125,0.0833,0.0094
2150,0.0933,0.0094,0.08,0.0082
2175,0.0867,0.0125,0.0533,0.0094
2200,0.0867,0.0205,0.0433,0.017
2225,0.07,0.0082,0.0533,0.0125
2250,0.08,0.0082,0.0533,0.0047
2275,0.08,0.0216,0.08,0.0141
2300,0.0767,0.0094,0.09,0.0082
2325,0.1,0.0082,0.0867,0.017
2350,0.0867,0.0249,0.0933,0.017
2375,0.08,0.0216,0.0833,0.033
2400,0.0767,0.0262,0.08,0.0294
2425,0.0667,0.0189,0.08,0.0283
2450,0.08,0.0283,0.0767,0.0309
2475,0.0833,0.033,0.0733,0.0189
2500,0.08,0.0408,0.07,0.0216
2525,0.09,0.0432,0.07,0.0082
2550,0.0833,0.034,0.0733,0.0125
2575,0.0833,0.0419,0.0667,0.0249
2600,0.0833,0.0403,0.0667,0.017
2625,0.0733,0.034,0.0567,0.0094
2650,0.0833,0.0403,0.0533,0.0125
2675,0.0867,0.0309,0.0467,0.017
2700,0.0867,0.0287,0.05,0.0163
2725,0.0867,0.0189,0.0633,0.0205
2750,0.0833,0.0125,0.0633,0.0047
2775,0.0833,0.0094,0.07,0.0082
2800,0.1067,0.0047,0.0767,0.0189
2825,0.0933,0.017,0.0767,0.0125
2850,0.08,0.0082,0.0867,0.017
2875,0.07,0.0082,0.0933,0.0047
2900,0.05,0.0082,0.0833,0.0236
2925,0.0633,0.0047,0.0767,0.0205
2950,0.0633,0.0125,0.0767,0.017
2975,0.0833,0.0205,0.08,0.0327
3000,0.0967,0.0189,0.1,0.0141
3025,0.0867,0.0125,0.0967,0.0189
3050,0.09,0.0163,0.0833,0.0189
3075,0.0733,0.0189,0.07,0.0141
3100,0.0533,0.0047,0.0733,0.0189
3125,0.0533,0.0125,0.0867,0.0236
3150,0.0533,0.0094,0.1133,0.0125
3175,0.0633,0.0094,0.1067,0.0125
3200,0.0667,0.0047,0.0833,0.0125
3225,0.0667,0.0047,0.0733,0.0205
3250,0.0767,0.0125,0.05,0.0082
3275,0.06,0.0216,0.0567,0.0249
3300,0.0633,0.033,0.0567,0.0205
3325,0.07,0.0424,0.0767,0.0205
3350,0.0633,0.0419,0.0833,0.0249
3375,0.08,0.0245,0.1033,0.0125
3400,0.07,0.0,0.1133,0.0205
3425,0.0567,0.0094,0.0933,0.0262
3450,0.07,0.0283,0.0867,0.0205
3475,0.0767,0.0236,0.0633,0.0047
3500,0.0767,0.0094,0.05,0.0082
3525,0.09,0.0163,0.0467,0.0236
3550,0.0767,0.017,0.0433,0.0205
3575,0.0667,0.0125,0.0433,0.0189
3600,0.07,0.0082,0.0467,0.0094
3625,0.0767,0.0125,0.06,0.0082
3650,0.08,0.0163,0.07,0.0082
3675,0.08,0.0163,0.08,0.0216
3700,0.0867,0.017,0.08,0.0141
3725,0.1,0.0283,0.0867,0.0249
3750,0.1,0.0245,0.0733,0.0125
3775,0.1067,0.0236,0.0767,0.0094
3800,0.11,0.0294,0.0867,0.0094
3825,0.09,0.0294,0.0867,0.0047
3850,0.0933,0.017,0.09,0.0082
3875,0.09,0.0327,0.0833,0.0205
3900,0.0933,0.045,0.08,0.0294
3925,0.0967,0.0386,0.07,0.0082
3950,0.09,0.0163,0.0833,0.0189
3975,0.09,0.0082,0.0933,0.0125
4000,0.0833,0.017,0.1033,0.0236
4025,0.08,0.0245,0.0933,0.0205
4050,0.0833,0.034,0.09,0.0
4075,0.0733,0.034,0.09,0.0141
4100,0.07,0.0163,0.0933,0.0047
4125,0.08,0.0141,0.1033,0.0047
4150,0.0833,0.0125,0.0967,0.017
4175,0.09,0.0141,0.09,0.0216
4200,0.1033,0.0262,0.0767,0.0094
4225,0.0867,0.0262,0.0733,0.0125
4250,0.0833,0.0309,0.0767,0.0125
4275,0.08,0.0216,0.0633,0.0205
4300,0.0667,0.0094,0.0633,0.0287
4325,0.0733,0.0047,0.07,0.0163
4350,0.0767,0.0047,0.0733,0.0205
4375,0.08,0.0082,0.0833,0.017
4400,0.09,0.0245,0.08,0.0216
4425,0.09,0.0216,0.0767,0.0249
4450,0.0967,0.033,0.0767,0.0047
4475,0.09,0.0216,0.08,0.0163
4500,0.0867,0.017,0.08,0.0141
4525,0.0867,0.0125,0.0833,0.034
4550,0.09,0.0294,0.0833,0.033
4575,0.0867,0.0205,0.0867,0.0544
4600,0.1033,0.0236,0.08,0.051
4625,0.0967,0.017,0.07,0.0216
4650,0.08,0.0163,0.07,0.0
4675,0.08,0.0163,0.0733,0.0287
4700,0.06,0.0082,0.09,0.0374
4725,0.0567,0.0047,0.0933,0.0478
4750,0.0733,0.0205,0.09,0.0497
4775,0.0833,0.0125,0.0967,0.0377
4800,0.08,0.0141,0.09,0.0374
4825,0.09,0.0216,0.0933,0.033
4850,0.07,0.0356,0.0967,0.017
4875,0.0733,0.0249,0.0833,0.0094
4900,0.08,0.0216,0.0833,0.0125
4925,0.0867,0.0205,0.1033,0.017
4950,0.0967,0.0094,0.1167,0.033
4975,0.1,0.0082,0.1133,0.0471
